PREFIXO: ;E3-262
NOME DO POSTO: ;GUARAU
MUNICÍPIO: ;SAO PAULO
CURSO D'ÁGUA: ;CABUCU DE BAIXO,R/(ITAGUACU,COR)
LATITUDE: ;23°26'33"
LONGITUDE: ;46°39'01"
 
Obs: valores com --- representam dados inexistentes.
 
Chuva Mensal (mm)
 
Ano;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro
  1985;184,90;242,90;230,00;59,00;126,20;14,60;4,00;21,80;126,10;71,10;111,30;155,20
  1986;199,60;221,00;218,70;106,50;113,10;3,90;30,30;---;34,50;60,70;242,50;389,90
  1987;525,80;---;161,30;98,10;293,80;183,90;11,80;30,90;80,20;84,80;72,70;152,10
  1988;268,70;224,40;189,20;175,10;224,90;58,60;1,30;0,20;28,40;173,90;100,20;289,80
  1989;312,90;344,30;288,20;66,30;21,70;52,50;150,10;32,90;52,10;80,10;88,00;236,70
  1990;284,10;196,90;310,10;85,80;77,90;50,60;121,20;76,30;97,20;206,80;116,30;149,80
  1991;330,70;340,30;522,40;200,30;43,30;96,80;28,20;37,30;101,40;168,00;67,30;237,90
  1992;129,20;258,50;---;87,20;93,50;11,60;40,90;24,70;150,60;219,60;---;211,70
  1993;221,50;225,70;110,00;84,60;133,90;74,70;11,20;40,80;210,10;134,10;125,50;170,50
  1994;196,90;184,40;231,60;111,40;54,90;30,50;39,20;2,40;1,80;147,60;86,60;276,30
  1995;373,80;383,10;267,70;73,90;79,70;31,20;46,80;1,50;44,20;202,60;115,10;---
  1996;334,30;376,50;284,50;42,30;21,70;45,10;12,20;41,20;179,40;179,80;87,40;243,90
  1997;235,00;187,60;57,10;63,20;88,20;124,70;12,50;28,80;118,00;151,80;236,30;217,40
  1998;231,60;430,10;211,20;56,90;133,80;16,60;16,60;45,50;99,50;203,10;41,50;198,40
  1999;---;339,00;162,30;34,90;47,20;86,30;31,00;0,00;76,90;64,50;76,00;100,40
  2000;387,70;304,00;190,40;50,00;9,70;9,80;74,00;---;120,30;105,50;322,00;281,00
  2001;283,10;221,90;241,20;28,70;85,00;31,00;31,70;26,90;82,30;213,10;181,60;292,90
  2002;300,60;173,60;354,80;95,30;137,60;2,30;23,00;41,50;84,00;143,90;201,40;263,70
  2003;443,40;141,50;250,20;45,50;36,60;20,70;24,50;27,60;41,50;176,70;133,00;89,90
  2004;188,80;316,90;127,20;160,50;77,40;75,60;105,60;2,20;13,80;120,60;215,50;181,00
  2005;378,30;95,90;202,10;137,30;177,10;35,10;39,80;11,50;150,30;195,30;96,60;140,10
  2006;230,90;223,50;407,90;65,40;23,70;34,80;78,60;9,20;86,20;71,90;175,00;353,30
  2007;208,70;301,00;240,20;67,60;63,10;17,20;134,30;0,10;27,40;167,20;211,70;268,70
  2008;388,00;136,40;332,80;123,60;80,90;55,70;0,00;52,50;49,90;144,30;125,40;152,90
  2009;356,40;145,00;73,60;75,30;58,10;28,30;157,70;---;198,90;157,40;237,20;294,50
  2010;549,10;175,40;258,90;116,40;52,80;20,20;78,40;1,20;100,40;73,80;129,20;234,70
  2011;428,40;349,50;265,10;142,00;40,10;81,30;1,50;49,70;10,70;218,20;73,40;393,70
  2012;401,50;226,00;165,90;149,10;82,40;---;105,50;3,70;31,90;93,90;154,00;623,20
  2013;321,70;372,10;175,00;103,40;39,40;210,90;168,80;15,30;45,10;110,70;76,60;139,90
  2014;189,70;236,10;222,90;110,20;71,00;11,50;51,90;20,50;82,10;23,80;209,30;258,00
  2015;249,30;303,50;265,90;100,40;87,20;25,40;62,70;40,50;280,90;---;---;221,90
  2016;242,80;225,20;288,10;92,20;141,40;207,30;0,00;82,20;29,10;116,90;181,20;129,20
  2017;---;---;120,80;156,30;166,10;101,60;0,20;53,40;12,00;121,20;174,40;169,60
  2018;238,20;84,50;---;66,40;25,80;15,00;20,50;---;72,90;203,40;134,10;258,00
  2019;---;315,50;318,50;172,30;97,30;59,00;195,10;6,70;73,70;75,90;170,80;249,00
  2020;408,10;363,00;95,50;5,60;13,70;163,80;10,20;62,10;22,90;213,90;162,10;---
  2021;373,30;174,10;137,80;55,70;38,50;15,50;38,00;44,80;---;152,80;108,20;247,40
  2022;418,40;136,30;233,60;40,40;67,30;45,90;8,80;35,20;131,30;117,30;197,70;200,40
  2023;377,60;452,00;138,20;165,70;43,30;85,20;15,00;---;---;---;---;---
  Média:;310,92;254,80;225,70;94,12;83,83;58,81;50,85;28,56;85,08;139,63;145,48;235,36
